date,state,district,pincode,bio_age_5_17,bio_age_17_,city
17-09-2025,Uttar Pradesh,Bareilly,243402,12,6,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243403,7,1,bareilly
17-09-2025,Uttar Pradesh,Bareilly,262406,202,46,bareilly
17-09-2025,Uttar Pradesh,Bareilly,262407,83,21,bareilly
29-09-2025,Uttar Pradesh,Bareilly,243301,10,4,bareilly
29-09-2025,Uttar Pradesh,Bareilly,243402,12,4,bareilly
29-09-2025,Uttar Pradesh,Bareilly,262407,2,3,bareilly
28-09-2025,Uttar Pradesh,Bareilly,243201,11,8,bareilly
28-09-2025,Uttar Pradesh,Bareilly,243403,1,0,bareilly
28-09-2025,Uttar Pradesh,Bareilly,243504,0,1,bareilly
28-09-2025,Uttar Pradesh,Bareilly,262407,1,1,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243005,31,28,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243201,166,52,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243501,42,8,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243502,38,31,bareilly
02-10-2025,Uttar Pradesh,Bareilly,262406,18,4,bareilly
30-09-2025,Uttar Pradesh,Bareilly,243504,53,23,bareilly
30-09-2025,Uttar Pradesh,Bareilly,243505,65,21,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243001,59,33,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243407,0,4,bareilly
18-09-2025,Uttar Pradesh,Bareilly,262407,112,18,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243123,34,13,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243203,43,13,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243402,30,6,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243407,3,0,bareilly
20-09-2025,Uttar Pradesh,Bareilly,262122,1,0,bareilly
20-09-2025,Uttar Pradesh,Bareilly,262201,1,0,bareilly
21-09-2025,Uttar Pradesh,Bareilly,243001,4,1,bareilly
21-09-2025,Uttar Pradesh,Bareilly,243123,9,3,bareilly
