date,state,district,pincode,bio_age_5_17,bio_age_17_
18-08-2025,Delhi,New Delhi,110001,1,6
08-09-2025,Delhi,New Delhi,110001,2,8
08-09-2025,Delhi,New Delhi,110021,8,3
14-09-2025,Delhi,New Delhi,110001,1,0
02-08-2025,Delhi,New Delhi,110001,3,0
03-08-2025,Delhi,New Delhi,110021,0,1
29-08-2025,Delhi,New Delhi,110001,8,5
29-08-2025,Delhi,New Delhi,110021,3,5
30-08-2025,Delhi,New Delhi,110021,5,2
30-08-2025,Delhi,New Delhi,110023,0,1
23-09-2025,Delhi,New Delhi,110021,4,3
30-09-2025,Delhi,New Delhi,110021,3,6
28-09-2025,Delhi,New Delhi,110023,1,0
15-09-2025,Delhi,New Delhi,110001,3,7
17-09-2025,Delhi,New Delhi,110011,0,1
18-09-2025,Delhi,New Delhi,110001,9,8
19-09-2025,Delhi,New Delhi,110021,4,4
24-09-2025,Delhi,New Delhi,110023,0,1
15-07-2025,Delhi,New Delhi,110011,1,2
31-07-2025,Delhi,New Delhi,110023,0,1
25-07-2025,Delhi,New Delhi,110023,0,4
21-06-2025,Delhi,New Delhi,110023,0,1
23-06-2025,Delhi,New Delhi,110023,0,3
18-06-2025,Delhi,New Delhi,110023,0,1
20-06-2025,Delhi,New Delhi,110011,0,2
17-06-2025,Delhi,New Delhi,110011,0,1
16-06-2025,Delhi,New Delhi,110011,0,2
12-06-2025,Delhi,New Delhi,110023,0,2
03-08-2025,Delhi,New Delhi,110001,0,5
03-08-2025,Delhi,New Delhi,110023,0,2
19-06-2025,Delhi,New Delhi,110023,0,2
11-06-2025,Delhi,New Delhi,110023,0,4
05-06-2025,Delhi,New Delhi,110011,1,2
21-05-2025,Delhi,New Delhi,110001,5,13
21-05-2025,Delhi,New Delhi,110021,2,6
26-05-2025,Delhi,New Delhi,110011,0,1
23-05-2025,Delhi,New Delhi,110011,0,1
29-05-2025,Delhi,New Delhi,110001,7,5
30-05-2025,Delhi,New Delhi,110021,0,5
03-06-2025,Delhi,New Delhi,110011,1,0
07-06-2025,Delhi,New Delhi,110001,0,1
08-06-2025,Delhi,New Delhi,110001,1,1
